Nome: JAGUARUANA
Codigo Estacao: A339
Latitude: -4.83777777
Longitude: -37.69972221
Altitude: 12
Situacao: Operante
Data Inicial: 2007-11-09
Data Final: 2025-07-31
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-11-30;28;
2007-12-31;28,3;
2008-01-31;28,3;
2008-02-29;28,6;
2008-03-31;26,6;
2008-04-30;26,4;
2008-05-31;26,5;
2008-06-30;25,7;
2008-07-31;25,9;
2008-08-31;26,6;
2008-09-30;27,6;
2008-10-31;28,1;
2008-11-30;28,2;
2008-12-31;28,3;
2009-01-31;27,8;
2009-02-28;27,1;
2009-03-31;26,6;
2009-04-30;26;
2009-05-31;26,2;
2009-06-30;26,1;
2009-07-31;25,7;
2009-08-31;26,1;
2009-09-30;27,2;
2009-10-31;27,3;
2009-11-30;27,9;
2009-12-31;28,5;
2010-01-31;28,2;
2010-02-28;29,2;
2010-03-31;29,1;
2010-04-30;28,3;
2010-05-31;28,1;
2010-06-30;28,1;
2010-07-31;28;
2010-08-31;27,6;
2010-09-30;null;
2010-10-31;null;
2010-11-30;null;
2010-12-31;27,9;
2011-01-31;27;
2011-02-28;26,9;
2011-03-31;26,5;
2011-04-30;null;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;null;
2011-09-30;27,6;
2011-10-31;27,8;
2011-11-30;28;
2011-12-31;27,8;
2012-01-31;27,9;
2012-02-29;27,3;
2012-03-31;27,3;
2012-04-30;27,8;
2012-05-31;28;
2012-06-30;27,7;
2012-07-31;27,4;
2012-08-31;27,5;
2012-09-30;27,7;
2012-10-31;28;
2012-11-30;27,9;
2012-12-31;28,5;
2013-01-31;28,7;
2013-02-28;28,9;
2013-03-31;29,1;
2013-04-30;28;
2013-05-31;27,6;
2013-06-30;27;
2013-07-31;26,6;
2013-08-31;27,5;
2013-09-30;27,9;
2013-10-31;28,1;
2013-11-30;28;
2013-12-31;28,1;
2014-01-31;28,5;
2014-02-28;28,3;
2014-03-31;28,3;
2014-04-30;27,6;
2014-05-31;27,2;
2014-06-30;27,5;
2014-07-31;27,3;
2014-08-31;27,7;
2014-09-30;27,8;
2014-10-31;28,3;
2014-11-30;27,9;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;27,7;
2015-04-30;27,4;
2015-05-31;28,3;
2015-06-30;27,7;
2015-07-31;27,2;
2015-08-31;27,5;
2015-09-30;28;
2015-10-31;28,2;
2015-11-30;28,4;
2015-12-31;28,9;
2016-01-31;27,6;
2016-02-29;28,2;
2016-03-31;null;
2016-04-30;null;
2016-05-31;28,9;
2016-06-30;28,4;
2016-07-31;28,2;
2016-08-31;28,1;
2016-09-30;28,5;
2016-10-31;28,9;
2016-11-30;29,1;
2016-12-31;29,1;
2017-01-31;29,3;
2017-02-28;28,3;
2017-03-31;27,6;
2017-04-30;27,4;
2017-05-31;27,8;
2017-06-30;27,6;
2017-07-31;26,7;
2017-08-31;27,3;
2017-09-30;null;
2017-10-31;28,8;
2017-11-30;28,4;
2017-12-31;28,8;
2018-01-31;28,5;
2018-02-28;27,6;
2018-03-31;28,1;
2018-04-30;26,5;
2018-05-31;26,7;
2018-06-30;26,4;
2018-07-31;27,1;
2018-08-31;27,7;
2018-09-30;28,1;
2018-10-31;28,4;
2018-11-30;29,2;
2018-12-31;28,7;
2019-01-31;28,7;
2019-02-28;27,9;
2019-03-31;26,6;
2019-04-30;27;
2019-05-31;26,9;
2019-06-30;26,7;
2019-07-31;26,7;
2019-08-31;27,1;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;28,7;
2020-01-31;28,2;
2020-02-29;27,9;
2020-03-31;27,1;
2020-04-30;27,5;
2020-05-31;26,8;
2020-06-30;26,3;
2020-07-31;26,2;
2020-08-31;27,1;
2020-09-30;27,6;
2020-10-31;28,1;
2020-11-30;28,6;
2020-12-31;28,7;
2021-01-31;28,7;
2021-02-28;28,5;
2021-03-31;27,9;
2021-04-30;27,6;
2021-05-31;26,8;
2021-06-30;27,8;
2021-07-31;27,7;
2021-08-31;28,1;
2021-09-30;28,4;
2021-10-31;28,7;
2021-11-30;29;
2021-12-31;29;
2022-01-31;27,8;
2022-02-28;28,3;
2022-03-31;27,3;
2022-04-30;26,7;
2022-05-31;26,4;
2022-06-30;25,8;
2022-07-31;null;
2022-08-31;null;
2022-09-30;null;
2022-10-31;null;
2022-11-30;null;
2022-12-31;null;
2023-01-31;null;
2023-02-28;null;
2023-03-31;null;
2023-04-30;null;
2023-05-31;null;
2023-06-30;null;
2023-07-31;null;
2023-08-31;null;
2023-09-30;28;
2023-10-31;28,3;
2023-11-30;28,5;
2023-12-31;28,7;
2024-01-31;28,6;
2024-02-29;28,4;
2024-03-31;27,6;
2024-04-30;27,3;
2024-05-31;27,7;
2024-06-30;27;
2024-07-31;26,8;
2024-08-31;27,2;
2024-09-30;27,6;
2024-10-31;27,8;
2024-11-30;28,1;
2024-12-31;28,6;
2025-01-31;28,4;
2025-02-28;28,2;
2025-03-31;27,4;
2025-04-30;27,9;
2025-05-31;27,7;
2025-06-30;27,5;
2025-07-31;null;

